Skipping:
pos == (0, 0)
pos == (0, 0)
Solution to puzzle: 1001
         7448013 function calls (7445700 primitive calls) in 8.759 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       45    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       78    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        1    0.000    0.000    0.001    0.001 ast.py:1(<module>)
        1    0.000    0.000    0.003    0.003 ElementTree.py:1(<module>)
    21/16    0.000    0.000    0.111    0.007 <frozen importlib._bootstrap_external>:1172(exec_module)
       18    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        1    0.000    0.000    0.001    0.001 parse.py:1(<module>)
        1    0.000    0.000    0.286    0.286 _pickle.py:1(<module>)
       23    0.000    0.000    0.001    0.000 abc.py:84(__new__)
      289    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       27    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.000    0.000 TiffTags.py:20(<module>)
       27    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
        1    0.000    0.000    0.007    0.007 pathlib.py:1(<module>)
       26    0.000    0.000    0.000    0.000 core.py:921(__init__)
      364    0.000    0.000    0.000    0.000 enum.py:748(name)
       13    0.000    0.000    0.000    0.000 enum.py:175(<dictcomp>)
        1    0.000    0.000    0.001    0.001 opcode.py:2(<module>)
        7    0.000    0.000    0.000    0.000 getlimits.py:668(__init__)
      345    0.000    0.000    0.000    0.000 enum.py:753(value)
      146    0.000    0.000    0.000    0.000 TiffTags.py:26(__new__)
       14    0.000    0.000    0.000    0.000 __init__.py:141(_check_size)
        1    0.000    0.000    0.001    0.001 encoder.py:1(<module>)
       28    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
        1    0.000    0.000    0.029    0.029 _ufunc_config.py:1(<module>)
       84    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
        1    0.000    0.000    8.760    8.760 naive_part1.py:2(<module>)
        8    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      110    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:58(bitname)
        1    0.000    0.000    0.000    0.000 numerictypes.py:440(_construct_lookups)
